transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,93.35,86.8,55.88,0.243083,76.32,62.42,19.62,0.132815,95.14,90.48,34.66,0.256809,97.8,95.15,66.72,0.26463,99.02,93.9,43.16,0.625234,96.13,74.81,46.31,0.529599,99.02,94.14,40.33,0.419233,80.37,81.41,38.38,0.005349,87.64,93.06,27.17,0.305731,98.19,85.88,47.33,0.277577,92.02,86.78,70.03,0.028791,97.76,93.9,47.67,0.21023,63.95,44.57,14.7,0.003438,88.91,84.97,45.95,0.124115,97.76,91.92,59.33,0.083687,90.89,84.01,43.82,0.234021
gaussian_noise_level 1,93.21,88.6,59.03,0.195913,78.8,65.26,20.23,0.202214,95.01,82.18,31.84,0.092955,97.82,96.34,63.44,0.232272,98.47,87.01,40.74,0.664311,95.6,70.07,45.05,0.638735,98.87,94.51,38.05,0.863129,74.32,70.68,30.25,0.00444,86.29,86.68,26.8,0.018158,96.82,85.41,50.17,0.248054,95.22,86.93,76.26,0.027696,98.71,97.18,55.33,0.407201,67.88,51.66,18.75,0.002816,80.68,76.54,37.84,0.149055,97.01,87.6,54.65,0.057077,90.31,81.78,43.23,0.253602
gaussian_noise_level 2,90.96,81.01,57.63,0.146456,80.18,63.0,18.23,0.127371,94.97,80.68,29.55,0.080624,98.18,96.03,64.97,0.229877,97.53,84.4,41.14,0.636611,95.61,72.45,44.59,0.656206,98.87,94.81,38.93,0.810287,73.62,67.16,29.21,0.003812,85.79,85.83,26.01,0.0142,95.94,83.69,50.39,0.272984,94.58,85.93,75.84,0.028806,98.97,97.29,53.11,0.325291,67.27,51.22,18.36,0.003668,80.36,77.03,37.26,0.15677,96.15,85.56,51.04,0.058062,89.93,80.41,42.42,0.236735
gaussian_noise_level 3,88.43,77.54,54.32,0.110817,80.75,60.11,17.4,0.039176,94.79,79.97,26.01,0.075771,98.22,95.13,67.15,0.251007,94.29,83.35,43.5,0.526781,95.34,75.49,42.06,0.675019,98.92,94.97,39.12,0.779543,72.8,60.7,28.55,0.003534,83.81,84.37,23.58,0.012602,95.13,80.36,49.55,0.246857,93.59,84.21,73.95,0.02871,98.45,96.32,54.18,0.37565,67.45,48.77,18.8,0.005538,79.5,74.7,35.53,0.141814,95.37,83.42,45.72,0.062998,89.12,78.63,41.29,0.222388
gaussian_noise_level 4,85.88,68.68,51.3,0.068994,81.06,55.33,16.91,0.016012,94.62,79.7,24.27,0.064378,98.57,92.95,67.84,0.1862,91.45,74.01,43.11,0.517415,95.41,72.49,42.25,0.684457,99.04,94.77,39.48,0.546281,70.73,53.92,27.15,0.002952,83.61,80.9,21.82,0.00884,94.89,76.7,47.54,0.246823,91.46,80.72,71.05,0.024226,98.62,93.89,51.68,0.339973,66.07,52.5,17.22,0.006512,80.62,76.3,39.29,0.129557,94.18,70.69,40.65,0.088967,88.41,74.9,40.1,0.195439
shot_noise_level 1,93.36,80.83,58.12,0.208027,85.09,67.53,23.58,0.207402,96.87,89.6,45.49,0.396337,99.32,98.3,73.61,0.293916,98.74,94.92,43.24,0.483562,97.44,89.37,53.6,0.548135,98.95,95.11,44.36,0.606051,71.93,75.61,31.29,0.003474,86.9,88.3,23.6,0.130213,98.24,84.59,43.23,0.219858,92.16,81.89,68.4,0.015071,98.28,93.85,56.16,0.080165,60.45,29.17,15.66,0.002463,95.46,82.67,55.62,0.16734,95.3,85.94,50.73,0.054401,91.23,82.51,45.78,0.227761
shot_noise_level 2,91.37,78.79,56.26,0.187723,85.82,65.56,21.4,0.217566,96.23,85.11,44.02,0.268149,99.46,98.42,74.24,0.267122,98.64,94.51,43.59,0.386455,97.28,89.27,51.44,0.602704,98.99,95.48,46.38,0.591164,71.57,73.31,31.18,0.004272,87.2,82.08,22.09,0.113133,97.93,83.27,43.55,0.251099,92.6,81.42,68.07,0.015439,98.31,92.0,55.11,0.091474,58.64,31.5,14.25,0.002764,95.15,83.13,55.09,0.165733,93.81,83.43,47.04,0.063971,90.87,81.15,44.91,0.215251
shot_noise_level 3,89.05,74.92,53.5,0.139647,86.28,59.44,19.32,0.130245,95.32,81.26,36.37,0.263131,99.42,98.35,73.35,0.26138,98.66,93.51,42.68,0.370149,97.64,90.46,51.82,0.539523,98.97,95.69,44.77,0.583004,70.77,69.41,30.55,0.004181,86.5,81.58,21.53,0.07328,97.38,80.98,34.83,0.144842,90.15,77.29,66.13,0.013856,98.0,88.74,52.06,0.097277,58.17,32.98,14.15,0.007575,94.02,79.47,53.7,0.170064,94.58,83.69,47.14,0.059443,90.33,79.18,42.79,0.190506
shot_noise_level 4,84.43,74.55,50.62,0.097005,86.94,55.87,19.0,0.033949,94.05,75.15,28.54,0.382893,99.25,97.09,74.33,0.248388,97.53,89.06,35.23,0.029011,97.77,86.18,51.61,0.506363,98.89,97.05,43.57,0.530645,69.04,61.69,29.44,0.003086,86.13,83.28,20.9,0.098086,96.46,77.37,32.54,0.171286,85.35,69.74,59.86,0.014469,97.23,80.21,50.19,0.151349,58.52,31.46,14.99,0.009415,92.46,69.31,51.81,0.149513,94.36,83.98,45.38,0.073179,89.23,75.47,40.53,0.166576
impulse_noise_level 1,87.18,76.82,48.86,0.031412,77.58,63.39,17.52,0.162675,94.49,83.93,35.82,0.101095,98.34,96.96,66.31,0.254263,99.22,92.22,47.67,0.349414,94.51,75.24,36.24,0.753358,99.41,95.2,50.72,0.476081,76.73,69.58,35.25,0.002484,88.52,89.26,24.0,0.021331,97.5,79.22,35.67,0.15185,91.34,83.68,66.08,0.037363,97.98,83.73,58.19,0.352718,62.2,50.3,17.5,0.097142,96.42,91.13,60.07,0.177286,96.04,82.42,48.03,0.051305,90.5,80.87,43.2,0.201318
