transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,91.51,97.58,91.67,0.986874,79.24,86.55,80.66,0.71488,93.5,98.48,95.93,0.800904,100.0,100.0,100.0,0.801655,99.83,99.94,99.13,0.661672,96.96,98.37,93.53,1.063522,99.8,99.93,98.92,0.370173,93.94,98.71,93.92,0.62621,89.69,98.17,92.11,0.737596,91.41,96.68,92.37,0.659932,99.06,99.64,97.62,0.223692,98.33,99.38,96.67,0.817113,74.25,72.49,68.97,0.778707,97.37,99.16,96.0,0.359044,96.03,98.6,97.5,0.139989,93.39,96.25,93.0,0.649464
gaussian_noise_level 1,91.84,97.84,95.0,0.982547,74.35,86.33,77.61,0.695944,84.46,96.35,91.67,0.652805,100.0,100.0,100.0,0.634288,97.74,99.28,97.3,0.498945,92.86,96.36,88.46,1.057559,99.41,99.8,98.41,0.556092,93.55,98.53,93.33,0.359056,68.32,93.39,91.26,0.755481,92.5,97.48,92.31,0.608153,98.7,99.55,98.18,0.488953,100.0,100.0,100.0,0.995978,76.79,76.14,69.23,0.878685,97.14,99.07,95.24,0.370432,97.95,99.41,97.56,0.092951,91.04,95.97,92.37,0.641858
gaussian_noise_level 2,90.48,97.32,92.31,0.979141,73.23,85.67,77.19,0.782257,81.76,95.75,91.67,0.678635,100.0,100.0,100.0,0.628415,97.74,99.28,97.3,0.500682,96.13,98.09,93.33,1.135588,99.41,99.8,98.41,0.751588,90.32,97.79,91.23,0.445872,72.58,94.08,92.16,0.765257,88.57,95.88,90.7,0.426384,97.08,99.13,98.18,0.370954,100.0,100.0,100.0,1.034035,73.21,75.15,66.67,0.659371,96.43,98.81,95.24,0.366693,96.82,99.16,95.12,0.105044,90.25,95.73,91.97,0.641994
gaussian_noise_level 3,91.84,97.84,95.0,0.888088,73.39,84.99,76.54,0.531434,70.27,90.82,90.24,0.208247,98.67,99.61,98.31,0.449378,96.99,99.08,97.3,0.335823,94.94,97.79,95.83,1.108395,99.71,99.9,98.41,0.590456,85.89,96.38,92.31,0.345779,64.07,91.95,91.26,0.566377,92.14,97.64,92.68,0.455659,98.7,99.55,98.18,0.402744,100.0,100.0,100.0,0.836224,73.57,75.17,69.23,0.946947,92.86,97.35,95.24,0.346499,93.86,98.44,93.51,0.141408,88.46,95.1,92.27,0.543564
gaussian_noise_level 4,87.07,96.38,90.48,0.682075,69.52,83.87,75.61,0.505095,80.07,95.53,90.67,0.692884,99.33,99.79,98.31,0.275067,95.49,98.74,97.3,0.411804,95.83,98.18,93.88,1.048025,100.0,100.0,100.0,0.934907,74.6,93.01,90.91,0.36867,67.38,92.4,91.26,0.583368,85.18,94.39,88.61,0.453761,99.03,99.65,98.18,0.401898,100.0,100.0,100.0,0.775466,72.14,70.42,68.57,0.922317,95.71,98.36,97.56,0.366144,87.05,96.79,88.89,0.106453,87.23,94.5,91.35,0.568529
shot_noise_level 1,95.24,98.48,93.33,0.85371,80.14,87.74,81.82,0.608797,92.71,98.23,97.3,0.712966,100.0,100.0,100.0,1.143299,100.0,100.0,100.0,0.572293,99.0,99.43,97.87,1.0687,100.0,100.0,100.0,1.038536,94.01,98.87,96.67,0.513974,75.65,94.8,92.16,0.785993,86.96,94.99,90.91,0.395318,95.78,98.5,94.55,0.304671,100.0,100.0,100.0,0.92069,60.77,55.85,62.07,0.820303,94.17,98.29,95.24,0.405079,93.41,97.37,96.39,0.079843,91.19,94.84,93.22,0.681611
shot_noise_level 2,93.88,97.98,95.24,0.89184,77.42,86.69,78.95,0.509978,89.24,97.69,91.89,0.611699,100.0,100.0,100.0,0.999181,100.0,100.0,100.0,0.482737,97.66,98.78,93.88,0.95032,100.0,100.0,100.0,0.961126,93.55,98.8,96.67,0.452766,73.52,92.66,92.16,0.86521,84.46,93.66,90.91,0.398483,96.1,98.59,94.74,0.26631,100.0,100.0,100.0,0.982665,63.08,54.94,62.5,0.743869,94.17,98.29,95.24,0.384925,92.73,97.21,96.3,0.12388,90.39,94.35,92.57,0.641666
shot_noise_level 3,95.92,98.61,95.45,0.802567,79.8,89.65,78.87,0.590702,78.12,95.03,90.91,0.676475,100.0,100.0,100.0,0.791577,100.0,100.0,100.0,0.523567,96.99,98.51,95.65,1.074009,100.0,100.0,100.0,0.975429,93.09,98.69,95.08,0.464635,65.48,90.36,92.16,0.938446,83.04,92.23,90.0,0.41583,96.1,98.56,93.33,0.09867,100.0,100.0,100.0,0.779601,63.08,56.28,59.26,0.734836,93.33,97.95,95.0,0.491866,91.14,96.62,95.12,0.109747,89.07,94.17,92.06,0.631197
shot_noise_level 4,94.56,98.18,95.45,0.672742,75.72,87.8,77.5,0.42014,68.06,91.49,90.0,0.660295,99.26,99.79,98.31,0.70038,99.25,99.74,97.44,0.225042,99.0,99.43,97.87,0.994823,100.0,100.0,100.0,0.910372,97.24,99.42,96.67,0.5076,70.21,92.96,91.26,0.897532,76.61,90.34,87.91,0.344884,96.1,98.59,94.74,0.143149,100.0,100.0,100.0,0.6573,70.0,70.62,69.23,0.796902,95.83,98.75,95.24,0.307594,91.36,96.94,96.3,0.14225,88.88,94.94,92.53,0.558734
impulse_noise_level 1,83.33,95.51,89.36,0.7163,77.02,84.49,79.25,0.813423,93.25,98.78,95.77,0.554596,100.0,100.0,100.0,0.789965,100.0,100.0,100.0,0.725933,95.99,97.91,92.0,0.979728,100.0,100.0,100.0,0.988232,94.47,98.82,93.94,0.310288,80.32,96.34,94.0,0.703628,79.49,92.05,88.37,0.401568,96.43,98.68,96.43,0.353672,100.0,100.0,100.0,0.634804,71.54,73.71,66.67,0.764015,100.0,100.0,100.0,0.655774,92.31,97.51,95.0,0.078086,90.94,95.59,92.72,0.631334
