transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,93.35,86.8,55.88,0.243083,76.32,62.42,19.62,0.132815,95.14,90.48,34.66,0.256809,97.8,95.15,66.72,0.26463,99.02,93.9,43.16,0.625234,96.13,74.81,46.31,0.529599,99.02,94.14,40.33,0.419233,80.37,81.41,38.38,0.005349,87.64,93.06,27.17,0.305731,98.19,85.88,47.33,0.277577,92.02,86.78,70.03,0.028791,97.76,93.9,47.67,0.21023,63.95,44.57,14.7,0.003438,88.91,84.97,45.95,0.124115,97.76,91.92,59.33,0.083687,90.89,84.01,43.82,0.234021
noise_level 1,90.58,84.73,52.92,0.103907,80.3,65.03,20.11,0.189342,95.1,85.01,33.93,0.113194,98.48,97.17,67.72,0.255798,98.79,91.41,43.34,0.456293,95.9,76.09,44.01,0.631538,99.07,94.86,42.73,0.51245,74.13,71.82,31.78,0.003226,87.12,88.15,23.91,0.032781,97.53,82.77,43.81,0.229114,93.0,83.73,69.74,0.022019,98.07,91.44,50.42,0.118499,62.87,42.76,15.55,0.00313,88.9,83.67,49.72,0.163577,96.08,85.15,50.98,0.054398,90.39,81.59,42.71,0.192618
noise_level 2,87.95,75.88,51.41,0.101561,81.75,63.61,18.85,0.185586,94.76,81.96,31.5,0.146606,98.62,97.04,68.52,0.2505,98.46,90.67,44.78,0.397569,95.83,78.37,42.97,0.656206,99.11,94.97,44.68,0.52162,73.49,67.06,31.21,0.003449,86.63,87.74,23.21,0.02922,97.03,81.59,44.01,0.24026,92.71,82.89,69.39,0.022555,98.08,90.64,51.38,0.128134,61.71,42.58,15.1,0.004431,88.6,84.05,49.17,0.170317,95.21,83.45,47.33,0.056844,90.0,80.17,42.23,0.194324
noise_level 3,86.07,72.42,49.97,0.052568,82.48,61.17,17.71,0.050156,94.5,79.91,26.85,0.150105,98.61,96.67,69.19,0.253354,97.45,89.1,43.28,0.377454,95.9,80.17,41.64,0.665483,99.11,94.89,44.17,0.530507,73.14,62.05,31.03,0.003383,85.23,87.15,21.6,0.025418,96.47,79.67,39.14,0.19249,91.08,80.49,67.26,0.0196,97.86,88.36,50.83,0.159498,62.14,42.91,15.83,0.006489,88.06,81.43,47.75,0.164869,95.02,81.82,45.08,0.059462,89.54,78.55,40.76,0.180722
noise_level 4,82.7,72.3,47.71,0.04725,83.61,57.69,17.48,0.028776,93.86,76.36,21.19,0.168855,98.68,94.17,69.44,0.21478,96.0,83.43,39.86,0.273734,95.97,77.02,41.91,0.657973,99.15,95.78,46.29,0.519441,71.63,53.34,30.08,0.002986,84.99,84.68,19.87,0.06054,95.83,76.32,37.79,0.183197,87.85,76.07,63.48,0.018303,97.2,84.39,49.56,0.176514,61.81,46.7,15.36,0.007642,87.87,78.31,47.5,0.148587,94.3,81.4,40.98,0.079895,88.76,75.86,39.23,0.172565
blur_level 1,91.37,80.99,53.56,0.19308,71.39,60.31,18.06,0.142409,94.21,90.36,31.56,0.165348,94.62,87.54,63.13,0.242178,97.72,88.44,40.15,0.539666,95.18,75.54,43.3,0.652504,98.95,97.37,40.27,0.517867,74.46,71.19,32.66,0.00679,87.57,89.56,22.6,0.241027,95.83,82.24,40.6,0.238717,89.47,80.48,63.2,0.047744,96.4,91.33,43.61,0.303747,61.03,46.99,12.44,0.004614,87.96,81.78,45.12,0.122236,96.25,85.32,46.73,0.090921,88.83,80.63,39.8,0.233923
blur_level 2,90.96,80.27,52.98,0.146104,71.54,58.91,17.65,0.15727,94.07,90.04,27.23,0.173214,93.81,85.58,62.89,0.24667,97.05,86.11,40.19,0.454769,94.91,76.31,42.77,0.663526,98.84,97.96,40.72,0.429844,72.23,68.22,30.5,0.005287,87.4,88.36,22.59,0.057231,94.98,79.95,38.69,0.265592,88.77,79.62,62.23,0.045873,96.01,89.65,41.91,0.352678,61.11,48.83,12.46,0.023073,87.73,80.14,44.18,0.11682,96.05,82.97,46.9,0.080657,88.36,79.53,38.93,0.214574
blur_level 3,89.9,77.61,52.04,0.109777,72.4,57.26,16.86,0.11143,94.16,89.1,25.51,0.125384,94.87,86.18,62.69,0.226568,96.6,84.22,38.77,0.376556,94.79,76.08,41.57,0.671402,98.55,96.96,39.1,0.351596,68.58,65.36,27.97,0.003861,86.98,86.4,22.33,0.071233,94.11,78.15,33.79,0.23355,85.35,78.28,58.72,0.051816,95.23,88.78,35.28,0.347937,60.37,46.85,12.11,0.012522,85.53,78.26,42.54,0.1159,95.99,79.35,46.12,0.062863,87.56,77.92,37.03,0.191493
blur_level 4,89.34,75.73,51.5,0.088241,72.57,59.05,16.49,0.108467,94.03,87.3,24.95,0.148788,94.87,83.8,60.57,0.203796,96.16,81.69,37.25,0.247139,94.64,76.22,39.7,0.664951,98.3,96.77,36.22,0.527262,66.74,62.22,27.11,0.003965,86.04,84.98,21.6,0.073798,93.17,76.0,26.41,0.198582,86.24,77.89,57.02,0.054368,94.81,85.58,30.15,0.334667,60.13,37.98,11.79,0.005884,85.86,79.7,44.24,0.104171,95.85,79.71,45.52,0.056532,87.25,76.31,35.37,0.188041
photometric_level 1,91.89,82.93,56.34,0.212651,78.2,66.45,19.19,0.10092,95.25,90.69,34.71,0.22494,97.92,95.81,66.08,0.274116,98.95,93.76,41.76,0.57126,96.13,76.65,46.37,0.535542,99.07,94.04,41.24,0.414202,78.5,79.24,37.11,0.005406,87.06,92.56,26.07,0.276664,97.77,84.25,45.02,0.205805,91.78,83.09,70.11,0.024825,97.53,93.09,48.03,0.205888,62.99,44.11,14.15,0.003889,88.54,87.85,48.17,0.126431,96.7,89.85,55.25,0.112616,90.55,83.62,43.31,0.219677
photometric_level 2,90.94,82.59,55.74,0.218116,79.84,66.98,18.87,0.083992,95.07,90.73,34.73,0.147747,97.75,95.52,65.22,0.292918,98.84,93.66,41.15,0.596764,96.04,77.25,45.59,0.565679,99.08,93.28,41.19,0.424022,75.97,78.04,35.24,0.006203,86.52,92.31,24.81,0.229208,97.5,83.7,45.23,0.201945,91.18,82.38,69.83,0.024398,97.56,92.69,49.78,0.203119,62.9,44.57,14.27,0.004339,87.59,87.24,48.64,0.123253,96.45,89.39,53.12,0.113315,90.22,83.36,42.89,0.215668
photometric_level 3,89.01,80.76,54.37,0.206841,82.04,66.59,18.84,0.052463,94.57,89.44,35.09,0.143923,97.33,93.79,62.77,0.273811,98.34,92.14,40.2,0.590177,95.92,78.09,44.09,0.601695,99.06,91.42,40.75,0.438038,71.59,75.17,33.11,0.007514,84.46,86.81,21.29,0.115117,96.97,81.61,40.72,0.22644,90.28,82.23,68.43,0.023785,97.82,91.61,51.29,0.214308,63.57,44.78,14.84,0.004923,86.21,83.81,48.33,0.120505,95.83,82.28,50.01,0.11136,89.53,81.37,41.61,0.208727
photometric_level 4,85.24,74.83,49.36,0.143211,83.97,65.8,18.63,0.055882,92.56,86.38,32.4,0.217649,94.93,86.36,49.71,0.228844,95.79,85.53,36.75,0.263333,95.67,74.42,38.55,0.58104,98.74,87.75,38.3,0.411264,64.91,67.6,30.54,0.008997,80.08,80.09,17.83,0.031297,95.45,77.25,23.05,0.449564,86.29,76.72,63.07,0.02565,97.95,90.27,53.75,0.177231,65.28,42.28,16.23,0.006035,85.52,80.64,47.43,0.101012,93.72,78.68,46.9,0.113652,87.74,76.97,37.5,0.187644
geometric_level 1,92.73,87.61,55.98,0.240509,74.13,61.49,18.93,0.110479,94.96,90.56,34.92,0.301368,97.52,94.59,66.75,0.295495,99.0,93.33,44.93,0.613807,95.93,75.03,45.69,0.554061,99.09,94.53,41.6,0.460757,78.79,81.62,37.72,0.005323,86.87,92.68,27.16,0.315131,98.05,86.15,46.8,0.300434,92.15,84.33,68.91,0.024427,97.27,92.5,47.79,0.241048,65.75,43.43,15.73,0.002759,89.95,86.4,49.74,0.118621,96.9,89.31,57.17,0.080928,90.61,83.57,43.99,0.244343
geometric_level 2,92.47,87.3,55.97,0.226891,72.79,61.89,18.62,0.106716,94.9,88.13,34.91,0.290134,97.48,94.95,66.93,0.29493,98.99,93.08,45.21,0.597355,95.75,75.13,46.01,0.556702,99.12,94.16,41.95,0.469331,77.85,81.3,37.72,0.005281,86.77,92.7,27.11,0.293366,98.22,88.19,47.66,0.29104,91.91,82.42,68.68,0.019928,97.13,93.3,48.91,0.220303,65.42,42.99,15.81,0.002329,89.35,85.59,51.99,0.123039,96.49,87.83,57.29,0.080324,90.31,83.26,44.32,0.238511
geometric_level 3,92.04,81.94,55.71,0.216777,71.5,60.95,18.6,0.096582,94.64,87.88,34.72,0.297241,97.11,94.28,67.29,0.27874,99.09,94.09,46.13,0.597303,95.67,75.13,46.08,0.53465,99.06,93.87,41.59,0.440344,77.2,81.04,37.94,0.004904,86.46,92.49,26.68,0.275487,98.35,88.49,47.63,0.284263,92.05,80.81,68.9,0.020516,97.11,93.3,49.05,0.229857,65.56,41.26,16.11,0.002127,90.63,86.22,52.63,0.122524,96.2,86.77,56.24,0.084861,90.18,82.57,44.35,0.232412
geometric_level 4,91.83,81.46,55.56,0.219296,70.32,61.19,18.9,0.102477,94.67,88.38,35.83,0.281567,96.61,93.5,67.0,0.275964,99.06,94.53,46.58,0.522163,95.56,75.25,45.5,0.523487,99.08,93.52,42.19,0.442131,76.7,80.97,38.02,0.004784,86.2,92.28,26.5,0.267771,98.23,86.88,48.79,0.31078,92.16,82.04,68.85,0.019647,97.13,94.34,49.99,0.261864,64.83,41.02,16.29,0.002247,90.94,86.09,52.82,0.111921,96.17,86.65,55.31,0.095661,89.97,82.54,44.54,0.229451
