transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,91.51,97.58,91.67,0.986874,79.24,86.55,80.66,0.71488,93.5,98.48,95.93,0.800904,100.0,100.0,100.0,0.801655,99.83,99.94,99.13,0.661672,96.96,98.37,93.53,1.063522,99.8,99.93,98.92,0.370173,93.94,98.71,93.92,0.62621,89.69,98.17,92.11,0.737596,91.41,96.68,92.37,0.659932,99.06,99.64,97.62,0.223692,98.33,99.38,96.67,0.817113,74.25,72.49,68.97,0.778707,97.37,99.16,96.0,0.359044,96.03,98.6,97.5,0.139989,93.39,96.25,93.0,0.649464
noise_level 1,89.76,97.07,89.08,0.955339,76.42,85.62,77.89,0.693798,88.83,97.5,92.59,0.613542,100.0,100.0,100.0,0.634288,99.42,99.81,99.12,0.498945,96.18,97.97,91.03,1.045418,99.9,99.97,98.92,0.556092,93.94,98.71,94.32,0.43124,74.14,94.63,92.16,0.703628,86.9,95.16,89.73,0.395318,97.22,99.0,96.39,0.304671,100.0,100.0,100.0,0.634804,70.62,69.68,63.83,0.759572,97.72,99.3,96.0,0.370432,94.62,98.12,96.27,0.092951,91.04,95.5,91.82,0.579336
noise_level 2,89.52,97.02,89.66,0.952092,76.78,86.99,77.0,0.661878,85.6,96.88,90.58,0.591975,100.0,100.0,100.0,0.628415,99.0,99.69,99.12,0.482737,95.32,97.68,91.55,1.060544,99.93,99.98,99.46,0.751588,93.65,98.65,93.33,0.420441,71.9,92.97,92.41,0.765257,83.4,93.45,88.89,0.455118,96.65,98.85,95.24,0.215929,99.72,99.89,98.36,0.648678,69.67,68.73,60.38,0.719604,97.11,99.11,96.0,0.366693,93.36,97.72,94.92,0.115597,90.11,95.17,91.13,0.589103
noise_level 3,90.16,97.24,90.0,0.888088,78.64,88.33,77.12,0.531434,76.23,94.17,90.46,0.193614,99.56,99.88,99.44,0.449378,98.91,99.67,99.12,0.335823,95.54,97.9,92.86,1.074009,99.97,99.99,99.46,0.590456,91.01,97.92,92.71,0.352275,64.87,91.07,91.56,0.566377,84.4,93.67,89.8,0.41583,96.61,98.73,93.41,0.191864,99.72,99.89,98.36,0.662384,70.08,68.79,62.65,0.857708,95.53,98.52,94.49,0.300901,91.83,97.35,93.39,0.109747,88.87,94.87,90.99,0.501326
noise_level 4,89.84,97.1,91.34,0.672742,76.16,86.87,77.19,0.828893,69.84,92.44,90.46,0.233211,98.76,99.65,97.21,0.246827,97.08,99.14,97.3,0.348698,95.5,97.9,93.06,0.994823,100.0,100.0,100.0,0.910372,80.74,94.88,90.73,0.32239,63.01,90.9,91.56,0.583368,79.63,92.05,86.59,0.350628,96.18,98.59,93.18,0.140428,100.0,100.0,100.0,0.6573,71.25,67.49,66.0,0.796902,96.67,98.88,96.72,0.366144,89.84,96.83,91.77,0.183803,86.97,94.18,90.87,0.509102
blur_level 1,89.44,96.97,90.32,0.911728,73.46,82.52,78.26,0.612991,86.64,96.76,92.92,0.575264,92.58,97.99,92.4,0.566787,98.41,99.43,97.35,0.421932,95.32,97.61,90.91,0.999625,99.59,99.86,98.92,0.384313,89.44,97.57,92.06,0.515778,76.02,93.61,92.67,0.820447,84.61,94.98,86.55,0.456209,95.71,98.36,93.64,0.362146,98.89,99.55,98.36,0.885833,66.62,64.27,61.22,0.702911,89.91,96.5,92.8,0.353589,87.66,96.18,94.31,0.14915,88.29,94.14,90.18,0.581247
blur_level 2,90.08,97.03,90.77,0.82744,71.95,79.58,80.93,0.583606,83.21,95.84,93.45,0.565564,90.45,97.4,91.02,0.637939,96.83,98.89,94.64,0.451978,94.14,97.16,90.65,1.035509,99.32,99.77,97.85,0.448503,88.61,97.27,91.98,0.513728,73.35,92.66,91.75,0.766618,80.94,93.61,85.3,0.226405,94.12,97.76,91.93,0.555213,96.67,98.52,96.77,0.939729,65.71,62.14,60.32,0.577801,89.74,96.41,92.19,0.2371,87.66,96.23,94.35,0.12,86.85,93.35,89.59,0.565809
blur_level 3,90.56,97.15,91.18,0.613753,65.89,77.38,77.12,0.418354,77.58,94.55,91.77,0.480161,90.01,97.23,90.0,0.363823,94.4,98.11,92.73,0.47364,91.96,96.08,89.21,1.018958,98.95,99.65,97.8,0.654179,82.84,95.78,89.69,0.444787,73.65,93.22,91.56,0.540961,74.65,90.29,87.08,0.267122,91.85,96.78,91.01,0.361405,93.33,97.33,93.75,0.932603,64.04,60.7,60.0,0.47291,85.61,95.13,89.55,0.202304,86.87,96.02,93.6,0.084565,84.15,92.36,88.4,0.488635
blur_level 4,93.41,97.98,91.94,0.683411,67.52,77.26,77.48,0.511624,77.78,95.08,90.46,0.336661,89.85,97.18,89.27,0.409674,93.32,97.7,91.23,0.388867,90.36,95.11,87.67,0.972439,97.96,99.32,96.13,0.655607,78.93,94.76,89.47,0.454539,71.63,92.89,91.86,0.570507,73.93,89.75,87.08,0.214523,90.95,96.53,90.91,0.354992,90.56,95.69,93.75,0.773746,61.33,55.48,61.54,0.394314,85.53,94.68,90.0,0.335502,85.56,95.55,93.0,0.14819,83.24,91.66,88.12,0.480306
photometric_level 1,90.32,97.27,90.76,1.004233,75.75,82.41,79.56,0.695966,90.19,97.48,94.44,0.789548,99.88,99.96,99.44,0.695539,99.67,99.88,99.13,0.260684,96.21,97.99,91.55,1.022283,99.59,99.85,98.92,0.489731,91.89,98.22,91.71,0.532453,84.48,97.08,91.95,0.723765,89.51,95.51,91.34,0.389842,97.11,98.98,96.34,0.358873,98.61,99.52,98.31,0.863348,74.0,71.65,67.44,0.853594,95.09,98.45,94.31,0.346984,95.46,98.4,96.67,0.184943,91.85,95.51,92.12,0.614119
photometric_level 2,89.68,97.18,91.8,0.973559,73.61,80.75,80.2,0.59758,87.08,96.52,93.39,0.500475,99.4,99.82,97.78,0.592462,99.58,99.84,99.13,0.177517,93.71,96.85,90.78,1.014901,99.59,99.85,99.46,0.50241,90.47,97.88,91.0,0.346627,79.71,96.09,92.05,0.626095,89.69,95.67,91.67,0.457908,96.43,98.79,95.76,0.301716,98.89,99.61,98.31,0.834998,72.5,69.36,65.06,0.886863,94.39,98.24,94.31,0.338176,94.8,98.19,96.64,0.201566,90.64,94.98,91.82,0.556857
photometric_level 3,89.52,97.1,90.6,0.988041,71.03,79.79,77.93,0.468578,80.61,95.05,91.56,0.37428,97.75,99.3,96.09,0.552964,99.5,99.81,99.13,0.137193,88.96,93.96,85.53,0.898196,99.32,99.75,98.91,0.408607,85.97,96.78,90.45,0.279228,65.0,91.5,92.36,0.480156,87.15,94.52,90.69,0.41727,94.41,98.14,93.49,0.197499,98.89,99.58,96.77,0.598384,67.96,63.6,62.26,0.684802,92.98,97.64,93.22,0.38896,92.62,97.64,93.65,0.178087,87.44,93.61,90.18,0.47015
photometric_level 4,85.56,95.76,87.5,0.283009,69.72,79.35,76.32,0.340903,72.24,92.97,90.76,0.329135,85.27,95.28,91.67,0.136,98.58,99.41,98.28,0.133349,76.43,86.1,84.66,0.477729,98.2,99.38,98.38,0.077156,71.21,92.45,89.86,0.114363,59.68,90.13,91.56,0.198586,85.26,93.72,89.24,0.496306,89.36,96.38,89.17,0.239911,98.61,99.5,96.67,0.66385,60.17,56.96,57.41,0.618238,89.65,96.75,90.6,0.257124,91.05,97.13,93.5,0.184914,82.07,91.42,88.37,0.303372
geometric_level 1,90.48,97.3,90.16,0.966465,77.51,84.33,80.54,0.563587,93.5,98.37,95.5,0.711374,100.0,100.0,100.0,0.663846,99.83,99.94,99.13,0.573922,96.07,97.98,92.31,1.029055,99.46,99.81,98.92,0.778035,95.06,98.89,93.99,0.564029,89.17,98.02,92.41,0.752853,89.4,96.21,89.71,0.597767,97.22,99.09,96.3,0.451662,97.5,99.09,94.92,0.942785,74.54,71.97,65.35,0.759316,97.28,99.16,95.24,0.280528,95.35,98.5,95.69,0.155445,92.82,95.91,92.01,0.652711
geometric_level 2,90.0,97.24,90.91,0.984606,77.62,84.81,80.0,0.522241,92.86,98.27,94.74,0.612286,99.72,99.91,98.34,0.632345,99.75,99.91,99.13,0.619186,96.71,98.33,93.53,1.061978,99.56,99.84,98.92,0.625192,93.16,98.49,92.57,0.624667,88.73,97.95,91.8,0.729209,90.9,96.7,92.18,0.623366,98.41,99.44,96.43,0.15011,98.33,99.37,95.24,0.796481,70.25,71.05,62.34,1.028091,97.72,99.32,95.8,0.445126,93.75,98.18,93.86,0.177107,92.5,95.92,91.72,0.642133
geometric_level 3,91.03,97.43,90.76,0.9919,75.32,82.88,80.18,0.521693,92.54,98.11,95.93,0.736974,100.0,100.0,100.0,0.65709,99.58,99.85,98.28,0.399636,96.36,98.16,93.15,1.025949,99.52,99.83,98.92,0.628702,92.03,98.12,92.93,0.440533,86.82,97.56,92.11,0.735557,90.63,96.74,91.23,0.722498,97.62,99.19,96.3,0.4365,99.44,99.78,98.36,0.808779,72.33,70.53,63.64,0.730986,98.95,99.68,96.67,0.463021,94.62,98.42,93.67,0.137763,92.45,95.75,92.14,0.629172
geometric_level 4,89.21,96.97,90.6,1.003404,75.21,83.41,80.19,0.616693,93.3,98.21,95.96,0.640231,99.88,99.96,98.89,0.710052,99.67,99.88,99.13,0.55317,96.32,98.15,92.86,1.077667,99.52,99.83,98.92,0.682867,92.57,98.29,93.47,0.409264,89.06,97.92,92.98,0.77274,87.76,95.13,89.81,0.477425,98.63,99.49,96.3,0.364882,98.33,99.35,96.67,0.893981,73.0,71.28,62.9,0.642362,99.3,99.78,97.56,0.32258,94.3,98.29,94.74,0.096369,92.4,95.73,92.07,0.617579
