transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,99.25,95.94,43.23,0.435582,97.28,94.72,48.54,0.258503,94.51,87.03,19.71,0.071875,99.28,85.47,59.58,0.704316,95.26,88.06,35.19,0.082524,98.97,92.06,34.74,0.579612,98.17,87.72,19.99,0.609799,92.31,88.27,21.53,0.276356,96.02,85.86,34.44,0.476041,91.82,73.6,14.22,0.558209,95.19,86.78,30.25,0.322415,93.2,92.88,16.71,0.06026,95.94,88.2,31.51,0.369624
gaussian_noise_level 1,98.64,93.83,39.26,0.697947,97.45,88.52,46.66,0.258031,95.0,87.12,24.14,0.167241,99.09,81.42,57.95,0.802366,95.31,84.59,39.88,0.083174,98.75,92.19,36.14,0.583646,97.57,86.1,11.26,0.660666,96.42,88.53,22.53,0.273927,95.48,82.78,27.65,0.406306,91.48,62.95,10.6,0.558264,95.64,86.85,33.54,0.398386,90.45,94.9,18.36,0.00682,95.94,85.82,30.66,0.408065
gaussian_noise_level 2,98.22,89.93,37.39,0.689231,97.42,88.97,47.11,0.269116,94.87,86.33,24.79,0.176472,98.95,82.67,60.23,0.652067,95.02,84.86,38.72,0.08617,98.36,89.32,34.97,0.596703,97.2,83.82,8.66,0.677224,96.26,86.99,20.77,0.284499,95.58,83.21,27.38,0.397884,91.4,58.21,10.6,0.56804,95.48,84.79,34.31,0.4134,89.81,95.11,17.92,0.009181,95.71,84.52,30.24,0.401666
gaussian_noise_level 3,97.44,90.22,37.05,0.527959,96.93,84.83,43.98,0.264106,94.8,86.26,24.77,0.182414,98.67,84.76,60.28,0.564178,94.76,83.84,37.41,0.091847,97.97,89.15,33.88,0.608446,96.3,80.0,1.73,0.623076,95.83,84.73,18.17,0.279155,95.62,84.37,27.59,0.41985,91.12,57.33,9.9,0.552064,95.3,85.49,34.45,0.481586,89.68,95.7,17.42,0.013224,95.37,83.89,28.89,0.383992
gaussian_noise_level 4,97.78,88.58,33.14,0.367424,96.26,81.63,41.29,0.285359,94.85,86.76,23.28,0.20102,97.72,79.59,58.7,0.529295,94.51,82.81,36.69,0.102243,96.48,85.73,30.13,0.682815,95.4,76.61,1.42,0.717556,95.41,80.11,15.2,0.210927,94.76,84.22,26.32,0.447035,90.82,48.21,9.56,0.553709,94.73,85.0,32.36,0.544511,89.65,96.08,16.77,0.02064,94.86,81.28,27.07,0.388544
shot_noise_level 1,97.41,89.88,38.3,0.584582,97.7,96.9,47.8,0.268755,92.77,86.18,15.41,0.273016,99.08,77.92,65.08,0.819906,95.36,89.57,29.75,0.087911,99.08,90.83,41.84,0.515314,96.93,82.81,7.28,0.70965,90.92,90.38,22.08,0.306786,94.34,85.05,44.05,0.519688,91.05,75.08,12.75,0.339758,95.24,86.08,32.04,0.37251,91.45,95.43,17.57,0.29352,95.11,87.18,31.16,0.424283
shot_noise_level 2,95.48,88.04,35.64,0.496858,97.56,96.57,47.13,0.279372,92.92,85.22,14.7,0.259857,98.94,75.23,64.02,0.733446,95.39,87.0,30.52,0.095582,98.83,89.32,34.39,0.559645,96.13,80.83,5.11,0.788445,90.83,88.24,20.61,0.306095,94.82,84.15,44.4,0.540408,91.02,73.21,12.47,0.378158,95.23,85.65,34.77,0.400855,90.98,94.7,17.8,0.333915,94.84,85.68,30.13,0.431053
shot_noise_level 3,95.78,89.73,30.25,0.369125,97.63,96.54,46.27,0.284975,93.19,85.89,15.08,0.285432,98.83,75.97,64.75,0.607879,95.1,87.01,30.1,0.109409,97.99,86.35,16.98,0.58881,95.6,80.11,2.11,0.696961,89.66,86.17,18.82,0.317021,95.76,85.34,43.37,0.516157,90.83,72.4,12.04,0.372582,95.02,82.3,36.38,0.466426,90.88,92.93,17.85,0.406526,94.69,85.06,27.83,0.418442
shot_noise_level 4,93.46,82.19,29.25,0.310968,97.22,91.53,43.1,0.321996,93.42,85.91,16.46,0.278696,98.2,66.63,65.02,0.481476,94.83,86.07,29.31,0.10453,97.07,85.73,8.65,0.629542,95.0,78.72,1.03,0.642533,88.79,83.27,14.17,0.348206,95.52,84.25,41.39,0.531044,90.6,65.36,12.67,0.537904,94.76,81.42,34.67,0.502981,90.12,94.06,15.29,0.458254,94.08,82.09,25.92,0.429011
impulse_noise_level 1,98.65,90.67,39.37,0.485152,96.01,94.48,48.68,0.263491,94.44,80.12,24.85,0.058488,99.42,84.0,61.28,0.465803,94.15,89.9,31.51,0.089825,99.28,92.33,40.67,0.519828,98.91,90.87,16.81,0.697863,87.28,81.02,17.57,0.246744,98.7,93.76,40.05,0.509928,94.51,79.7,22.37,0.585538,93.78,87.12,31.29,0.354299,94.24,92.26,18.89,0.140676,95.78,88.02,32.78,0.368136
impulse_noise_level 2,96.77,89.11,34.82,0.404535,95.93,91.86,49.03,0.268955,94.62,80.08,25.34,0.06115,99.32,84.38,60.98,0.434982,93.99,89.46,30.65,0.100819,98.9,88.89,28.15,0.561974,98.48,89.03,12.09,0.737513,87.24,80.11,18.06,0.258264,98.68,93.92,40.83,0.496778,94.28,78.87,21.24,0.580527,93.47,84.62,31.67,0.388483,93.55,93.9,16.03,0.292251,95.44,87.02,30.74,0.382186
impulse_noise_level 3,96.14,87.37,32.05,0.380375,95.89,89.85,46.54,0.268631,94.53,80.29,25.23,0.075708,99.33,66.06,60.92,0.399812,93.9,88.36,30.2,0.095353,98.41,85.26,23.74,0.615336,98.11,87.5,6.11,0.746804,87.16,78.52,18.56,0.29709,98.66,93.23,40.82,0.453647,94.11,79.38,20.25,0.589939,93.27,84.46,32.8,0.432314,93.5,93.76,17.34,0.244459,95.25,84.5,29.55,0.383289
impulse_noise_level 4,92.32,77.48,30.81,0.330389,95.24,88.95,43.75,0.28017,94.56,79.15,25.29,0.106775,98.89,70.14,58.44,0.390021,93.64,87.34,28.79,0.098418,97.52,79.02,14.47,0.678193,97.2,84.14,1.69,0.587252,86.05,73.85,13.14,0.325219,98.55,92.79,40.06,0.516683,94.05,78.9,18.05,0.586264,93.15,84.04,31.99,0.471336,92.51,88.86,15.53,0.416458,94.47,82.06,26.83,0.398932
defocus_blur_level 1,99.58,92.84,55.41,0.468638,96.58,96.32,48.93,0.348878,94.16,89.26,16.01,0.079829,99.12,82.4,57.91,0.468729,96.01,87.79,40.64,0.077724,99.14,93.69,43.38,0.561212,97.16,84.94,10.93,0.624583,92.2,81.23,22.87,0.312492,97.24,87.17,41.75,0.557042,92.84,67.97,9.24,0.448195,94.24,80.36,30.14,0.336505,93.18,95.54,18.37,0.066359,95.95,86.63,32.96,0.362516
defocus_blur_level 2,99.54,92.76,55.0,0.473783,96.44,95.74,48.11,0.341023,93.91,88.73,16.06,0.091239,99.07,82.23,57.87,0.474838,96.11,87.8,41.39,0.079548,99.09,93.55,45.2,0.567227,96.97,83.43,10.2,0.628952,92.02,80.87,21.55,0.321191,97.08,86.59,41.01,0.55741,92.59,65.35,8.65,0.428001,94.02,76.34,30.59,0.325684,93.01,95.43,17.83,0.078173,95.82,85.74,32.79,0.363922
defocus_blur_level 3,99.52,92.03,54.12,0.415135,96.06,92.8,47.03,0.346385,93.11,87.56,14.73,0.122501,98.93,81.67,59.04,0.483132,96.19,87.2,42.5,0.086793,98.98,92.83,47.97,0.549462,96.64,82.3,7.99,0.633104,91.77,79.75,18.31,0.355597,96.87,86.37,38.73,0.505882,91.99,59.27,7.23,0.390395,93.6,74.42,30.22,0.339374,92.64,95.24,18.04,0.115827,95.53,84.29,32.16,0.361966
defocus_blur_level 4,99.52,91.57,53.77,0.39879,95.46,91.85,46.49,0.354589,92.48,86.14,13.23,0.130734,98.93,81.52,60.58,0.437217,95.99,87.34,41.59,0.099386,98.81,90.59,48.29,0.555295,96.28,80.33,5.36,0.656695,90.47,77.2,15.2,0.418055,96.84,87.26,38.16,0.494286,91.09,48.84,5.8,0.483319,93.39,73.08,28.99,0.342384,92.08,95.5,18.73,0.161986,95.11,82.6,31.35,0.377728
motion_blur_level 1,98.91,90.99,37.52,0.536039,98.05,90.86,53.38,0.271796,93.23,84.57,21.25,0.06229,99.26,84.77,61.69,0.733853,94.96,89.55,33.66,0.096598,99.07,92.38,34.91,0.512844,97.55,86.92,14.33,0.587009,91.2,91.55,20.7,0.283839,93.5,77.99,31.33,0.507268,93.31,76.96,14.66,0.44052,95.96,82.85,26.81,0.351441,99.15,94.53,28.58,0.168042,96.18,86.99,31.57,0.379295
motion_blur_level 2,98.9,90.42,37.99,0.523228,98.0,89.65,53.79,0.272214,92.28,84.38,18.11,0.081154,99.23,85.23,59.96,0.711938,95.22,88.88,33.63,0.092614,99.0,93.21,36.51,0.452381,97.4,87.57,15.45,0.653698,90.41,90.65,19.31,0.309277,93.31,78.91,31.43,0.492799,92.63,74.84,12.01,0.435512,95.79,81.95,29.05,0.387702,99.17,94.24,28.22,0.172882,95.94,86.66,31.29,0.382117
motion_blur_level 3,97.61,90.79,38.25,0.492827,97.39,87.56,50.53,0.309146,91.91,83.68,18.78,0.146277,99.24,85.13,61.34,0.60772,94.89,87.84,34.56,0.12015,98.82,91.96,36.2,0.475351,96.96,85.05,14.35,0.634309,89.44,88.04,18.1,0.343533,94.02,80.52,27.17,0.475074,92.16,67.45,12.61,0.492049,95.53,83.09,26.79,0.442521,99.13,93.03,28.26,0.655676,95.59,85.35,30.58,0.432886
motion_blur_level 4,97.96,93.0,38.26,0.422668,96.67,82.66,47.4,0.315544,93.01,84.41,22.5,0.097203,99.26,84.11,59.82,0.875739,94.28,86.65,31.2,0.118321,98.62,89.72,34.61,0.479005,96.34,83.02,8.23,0.631061,87.96,84.6,15.84,0.410052,93.95,78.49,25.46,0.477331,91.54,67.72,9.91,0.511463,95.06,82.69,28.3,0.510051,99.32,94.7,28.91,0.27501,95.33,84.31,29.2,0.426954
zoom_blur_level 1,95.67,92.48,14.01,0.400433,84.14,64.54,8.21,0.345837,91.42,87.64,17.12,0.413802,98.91,81.2,59.92,0.948617,93.42,83.65,27.61,0.19055,95.45,69.21,21.52,0.530361,96.01,72.97,7.01,0.66348,87.66,69.27,6.0,0.472181,93.52,80.36,12.14,0.183375,85.57,56.4,18.07,0.700584,92.61,82.28,22.83,0.463419,96.57,94.81,47.61,0.21479,92.58,77.9,21.84,0.460619
zoom_blur_level 2,93.82,90.23,10.81,0.458281,80.9,58.43,7.33,0.503519,90.52,87.09,15.2,0.508792,98.66,79.98,57.06,0.94931,92.36,80.15,25.84,0.222645,93.78,66.11,17.12,0.589226,94.29,67.57,4.06,0.682179,84.35,67.07,5.51,0.53776,92.2,77.17,8.95,0.266573,85.17,53.54,10.08,0.718638,91.51,77.79,15.54,0.506336,96.65,93.98,48.6,0.244277,91.18,74.93,18.84,0.515628
zoom_blur_level 3,90.31,84.08,6.62,0.651586,77.36,55.89,7.67,0.596995,88.9,85.52,12.58,0.572797,98.28,74.83,54.63,0.926089,90.74,73.99,24.49,0.264419,91.33,55.31,13.84,0.62142,92.42,63.3,1.49,0.681808,83.34,70.69,6.38,0.490338,90.36,73.17,7.35,0.38889,87.1,55.84,5.76,0.662112,90.49,71.09,10.15,0.44285,95.73,92.41,46.38,0.304702,89.7,71.34,16.44,0.550334
