transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,90.06,92.91,84.66,0.64514,98.68,99.32,96.41,0.668822,80.34,90.87,82.57,0.340233,96.68,98.63,94.9,0.371925,92.24,96.49,88.99,1.142409,89.52,92.89,86.81,1.540441,73.53,78.17,68.94,1.608899,88.86,87.99,83.77,0.657317,83.88,86.85,80.0,1.243183,67.39,73.98,66.45,0.846647,93.27,94.18,89.23,1.439065,99.5,99.75,97.49,0.417866,87.83,91.0,85.02,0.910162
gaussian_noise_level 1,90.05,93.12,86.96,0.650364,98.97,99.39,97.14,0.611753,68.17,84.22,80.0,0.306315,97.23,98.84,95.52,0.318067,87.72,94.67,86.96,1.180727,92.65,94.51,88.52,1.538962,71.11,74.77,71.74,1.666751,85.29,84.98,79.49,0.488551,74.57,76.99,73.85,1.212785,66.26,70.01,70.0,1.091168,88.06,91.79,83.58,1.391428,98.27,99.24,95.65,0.346782,84.86,88.54,84.12,0.900304
gaussian_noise_level 2,88.75,90.68,84.93,0.552682,97.06,98.5,93.94,0.63026,71.63,86.3,80.0,0.333911,95.33,97.94,92.31,0.338877,85.12,93.57,85.29,1.193163,92.39,94.0,86.11,1.48967,59.43,64.99,71.74,1.685579,79.76,79.97,77.42,0.648966,77.77,78.51,74.63,1.188673,65.66,70.08,70.42,1.115466,88.58,91.3,83.87,1.429465,93.43,97.45,93.75,0.714647,82.91,86.94,82.87,0.943447
gaussian_noise_level 3,83.39,87.41,79.37,0.602277,94.41,97.27,90.62,0.649974,69.2,85.52,80.0,0.354384,92.91,96.84,91.43,0.22349,84.26,93.52,85.71,1.176538,91.96,94.2,88.24,1.559585,55.28,51.27,71.11,1.739373,80.36,80.08,77.92,0.495788,77.94,82.95,72.5,1.098045,59.08,64.68,66.67,0.958007,96.63,97.12,94.12,1.401505,92.04,97.02,93.75,0.76326,81.46,85.66,82.62,0.918519
gaussian_noise_level 4,78.81,84.16,75.76,0.483652,84.41,92.08,83.54,0.604255,60.21,81.24,80.0,0.421091,91.35,95.97,88.24,0.352862,79.41,91.46,81.16,1.18522,86.68,87.27,81.69,1.5702,48.27,49.61,66.67,1.652737,73.79,79.33,72.73,0.610314,71.8,78.32,70.45,1.033419,62.63,67.54,66.67,0.9395,96.97,97.27,90.41,1.388229,95.85,98.25,92.54,0.644958,77.52,83.54,79.15,0.907203
shot_noise_level 1,86.96,89.78,78.87,0.737485,100.0,100.0,100.0,0.731866,63.1,83.76,79.52,0.411083,92.69,96.34,89.55,0.346393,89.3,95.39,88.52,1.337483,94.12,96.08,92.31,1.515834,62.08,68.75,69.57,1.690058,90.08,93.79,88.14,0.687201,92.47,94.76,88.14,1.313354,70.94,77.35,68.66,1.171377,93.58,96.08,93.55,1.450863,99.11,99.6,98.46,0.562506,86.2,90.97,86.27,0.996292
shot_noise_level 2,82.83,85.99,75.29,0.55804,98.18,98.94,96.97,0.78308,59.0,81.58,80.49,0.448553,85.74,93.41,85.29,0.28429,84.14,93.29,86.67,1.323872,88.15,90.81,80.7,1.573579,56.66,59.15,68.75,1.697716,90.73,94.12,90.32,0.605375,93.2,95.16,89.23,1.20011,63.64,71.74,66.0,0.847555,94.92,96.62,93.94,1.410354,96.97,98.92,96.97,0.587476,82.85,88.31,84.22,0.943333
shot_noise_level 3,79.06,83.62,75.0,0.693492,92.58,95.73,91.43,0.687767,60.43,82.24,79.52,0.479099,84.85,93.12,83.78,0.197273,83.24,92.96,83.58,1.236491,79.52,84.58,76.67,1.577626,53.26,57.46,67.35,1.709974,84.3,88.74,79.31,0.652177,89.35,93.39,88.14,1.261417,59.89,67.28,66.0,0.862163,95.28,96.32,93.75,1.452799,96.08,98.4,95.24,0.772436,79.82,86.15,81.65,0.965226
shot_noise_level 4,80.9,83.46,78.26,0.501675,67.73,83.18,76.74,0.597803,63.46,82.78,79.52,0.523946,75.4,89.06,82.05,0.202134,78.43,90.69,80.7,1.373719,80.17,82.45,76.32,1.56579,52.53,57.87,66.67,1.71282,81.18,85.43,75.95,0.546612,91.74,94.04,86.15,1.148321,63.1,70.3,66.0,0.933483,95.28,96.23,92.06,1.505842,97.33,99.05,98.46,0.675802,77.27,84.54,79.91,0.940662
impulse_noise_level 1,79.8,82.18,76.06,0.63055,97.73,98.81,95.24,0.711806,70.08,86.13,81.01,0.371561,98.86,99.49,96.97,0.230875,90.53,95.83,87.32,1.277812,86.78,90.91,82.76,1.532276,81.18,81.83,79.45,1.741035,82.09,84.26,77.92,0.496152,88.98,92.13,87.1,1.290626,67.86,76.92,66.67,0.915192,90.73,92.19,84.85,1.399426,95.64,98.12,92.31,0.514599,85.86,89.9,83.97,0.925992
impulse_noise_level 2,72.18,76.57,70.73,0.519671,93.64,96.67,90.0,0.732426,69.51,85.77,82.5,0.382034,99.05,99.6,98.46,0.267999,92.23,96.36,89.23,1.35491,86.78,90.45,80.65,1.551367,74.47,76.49,76.06,1.777202,80.53,83.4,76.92,0.592475,88.25,90.74,83.87,1.23444,63.91,73.85,66.67,0.861224,90.45,93.07,87.1,1.423592,95.08,98.04,93.75,0.549643,83.84,88.42,82.99,0.937249
impulse_noise_level 3,66.02,71.19,68.97,0.419767,92.27,96.19,89.23,0.667319,66.1,84.11,82.05,0.42141,100.0,100.0,100.0,0.311287,90.34,95.51,89.86,1.283723,88.89,89.78,84.06,1.549709,65.93,74.67,66.67,1.640892,76.77,79.91,75.32,0.527874,91.18,92.64,86.15,1.179643,58.77,70.11,67.35,0.910808,90.08,90.92,83.33,1.393805,93.37,97.53,93.75,0.626455,81.64,86.88,82.23,0.911058
impulse_noise_level 4,63.91,68.57,66.67,0.232262,82.12,91.53,81.97,0.683218,65.53,84.17,81.48,0.455948,93.18,97.36,93.55,0.406401,85.8,93.87,84.62,1.227989,79.8,79.8,78.48,1.578961,65.38,70.14,69.57,1.767173,68.96,75.78,69.57,0.620856,89.9,91.39,85.25,1.237283,63.09,68.05,67.35,0.920415,95.13,95.82,90.32,1.389481,87.12,95.31,90.0,0.733899,78.33,84.32,79.9,0.937824
defocus_blur_level 1,97.75,98.17,93.94,0.644444,99.56,99.75,97.14,0.629539,77.68,89.87,84.62,0.342665,92.21,97.01,92.31,0.443253,87.72,94.98,86.67,1.289949,89.01,92.73,87.1,1.52857,70.59,73.0,70.89,1.651295,84.17,86.57,79.45,0.602723,80.71,83.93,80.6,1.267978,56.4,64.81,66.67,0.855277,91.87,94.03,89.23,1.386418,99.83,99.92,98.55,0.298085,85.62,89.56,85.6,0.911683
defocus_blur_level 2,96.89,97.66,93.94,0.633966,99.41,99.66,97.14,0.627687,78.37,90.21,82.5,0.333349,92.39,97.09,92.31,0.368408,87.72,94.91,86.57,1.173014,87.98,91.93,86.67,1.549872,71.11,73.05,72.97,1.675554,82.18,84.27,77.33,0.587614,81.23,83.94,81.82,1.241751,52.6,60.75,66.67,0.87088,89.19,91.79,86.15,1.360209,99.83,99.92,98.55,0.290387,84.91,88.76,85.22,0.892724
defocus_blur_level 3,96.19,97.13,94.12,0.510133,96.47,98.38,95.65,0.63691,72.84,87.55,80.49,0.351265,93.43,97.45,93.75,0.3821,86.85,94.42,84.51,1.111827,84.69,89.54,80.65,1.521702,68.25,69.64,73.68,1.668031,74.83,78.91,72.97,0.603135,83.39,85.26,80.6,1.166994,49.39,56.71,66.67,0.844978,82.53,84.97,77.97,1.39573,99.83,99.92,98.55,0.287502,82.39,86.66,83.3,0.873359
defocus_blur_level 4,95.42,96.34,90.91,0.439207,93.09,96.41,90.41,0.614406,69.38,86.21,80.95,0.360314,94.46,97.94,95.38,0.326225,85.47,93.96,85.25,1.202449,81.92,87.11,76.71,1.484812,63.24,64.91,72.97,1.685808,68.94,76.8,68.97,0.518236,84.78,82.78,81.82,1.046289,45.16,50.86,66.67,0.861908,72.75,77.81,69.7,1.299745,99.31,99.69,98.51,0.389535,79.49,84.24,81.52,0.852411
motion_blur_level 1,87.14,89.64,81.08,0.454989,98.18,99.01,95.24,0.734402,82.0,91.75,84.21,0.385371,97.5,98.93,96.87,0.376498,96.61,98.37,92.75,1.252049,91.64,93.69,86.21,1.492023,73.19,78.65,70.45,1.583901,90.45,91.75,86.15,0.633196,79.52,83.99,75.0,1.279666,67.47,72.07,66.67,1.025798,95.01,95.15,87.88,1.428128,100.0,100.0,100.0,0.452829,88.23,91.08,85.21,0.924904
motion_blur_level 2,81.63,86.97,77.19,0.60907,97.42,98.6,93.55,0.710176,82.17,92.37,82.86,0.448577,97.68,99.04,96.87,0.333865,96.26,98.37,95.24,1.330038,93.3,94.81,87.5,1.446805,71.07,77.68,69.57,1.560169,85.12,87.52,78.12,0.678083,81.82,86.29,78.12,1.169871,57.4,66.27,68.04,1.084926,93.58,94.43,85.29,1.432274,100.0,100.0,100.0,0.351595,86.45,90.2,84.36,0.929621
motion_blur_level 3,79.43,85.16,74.58,0.551086,95.0,97.02,91.18,0.669248,83.96,92.41,85.71,0.463972,95.37,98.14,95.24,0.727136,94.12,97.15,90.41,1.214577,79.43,86.67,80.7,1.459275,72.64,77.64,69.66,1.567768,82.19,82.66,76.92,0.556498,77.59,79.94,74.42,0.915771,52.76,62.48,66.0,1.054449,92.51,94.58,87.88,1.450081,100.0,100.0,100.0,0.418712,83.75,87.82,82.72,0.920714
motion_blur_level 4,83.01,85.73,77.61,0.507873,86.82,93.49,84.75,0.746265,78.43,88.36,84.51,0.482066,97.5,98.92,95.38,0.290421,92.34,96.17,90.91,1.270921,82.46,86.86,77.42,1.427061,75.39,76.2,75.68,1.613168,76.22,80.79,73.85,0.736547,79.71,78.44,81.16,0.99006,51.52,57.39,66.67,1.13828,84.49,86.9,79.41,1.409834,100.0,100.0,100.0,0.312332,82.32,85.77,82.28,0.910402
zoom_blur_level 1,83.47,82.37,80.6,0.567137,50.15,63.19,78.57,0.699641,89.39,94.87,89.55,0.926387,86.36,94.16,85.71,0.813352,87.5,94.73,86.67,1.421093,74.47,80.35,73.02,1.41702,68.87,70.38,68.82,1.505834,53.81,62.46,67.35,0.527987,75.94,74.43,74.29,0.910546,53.9,66.41,66.67,1.074629,60.88,69.85,68.09,1.247248,99.62,99.82,98.51,0.614843,73.7,79.42,78.15,0.977143
zoom_blur_level 2,79.8,80.78,77.14,0.584196,42.73,59.83,76.74,0.796968,88.83,95.12,87.5,1.070323,87.12,94.3,88.24,0.874098,87.12,94.57,87.1,1.407397,73.09,77.74,69.77,1.344613,65.66,63.91,71.6,1.575725,54.36,59.35,67.39,0.642512,70.62,73.36,70.42,1.072093,52.71,60.26,66.67,1.271139,49.95,60.06,67.35,1.248611,97.16,99.05,98.46,0.681384,70.76,76.53,77.36,1.047422
zoom_blur_level 3,51.7,61.41,66.67,0.592164,46.67,63.13,77.65,0.959352,89.58,95.7,87.5,1.239473,82.95,92.49,85.71,0.895251,86.74,94.77,87.1,1.457777,54.27,62.72,68.09,1.33097,52.8,53.56,70.97,1.557015,68.32,68.62,72.46,0.794402,60.06,62.2,68.82,1.036973,45.82,51.08,66.67,1.244924,56.66,63.34,66.67,1.132057,96.78,98.92,96.97,0.72447,66.03,72.33,76.27,1.080402
zoom_blur_level 4,52.34,62.48,66.67,0.517681,46.82,64.77,77.11,1.042552,87.12,95.01,87.5,1.259631,80.87,91.37,85.29,0.960005,86.17,94.55,86.67,1.507805,54.45,63.86,68.09,1.362351,52.89,52.1,68.89,1.594246,67.4,66.73,71.05,0.828168,54.91,55.66,66.67,0.925731,48.48,49.01,68.04,1.285089,51.97,60.18,66.67,1.119765,96.59,98.83,96.87,0.748009,65.0,71.21,75.79,1.095919
brightness_level 1,88.56,90.61,81.08,0.53381,97.47,98.66,95.05,0.711861,85.36,93.05,86.21,0.406743,89.6,95.87,90.32,0.414003,95.84,97.97,93.33,1.177391,84.88,88.97,79.55,1.483341,69.0,72.87,69.06,1.581295,88.76,85.83,86.0,0.645593,83.36,86.86,81.19,1.236016,64.0,73.09,66.23,0.918545,96.55,96.8,94.12,1.434934,98.96,99.47,98.04,0.289216,86.86,90.0,85.02,0.902729
brightness_level 2,87.48,89.27,82.11,0.593392,96.07,97.97,93.07,0.807706,76.48,88.76,82.14,0.533682,90.32,95.97,90.32,0.314636,95.84,97.98,93.33,1.189671,81.96,86.52,75.68,1.409249,59.84,61.54,67.67,1.516817,86.2,84.54,86.6,0.680719,82.92,85.6,80.41,1.253643,63.18,71.53,66.23,0.900906,95.49,96.51,92.63,1.490179,98.96,99.47,98.04,0.263598,84.56,87.97,84.02,0.91285
brightness_level 3,85.88,87.04,81.42,0.43952,93.27,96.47,90.2,0.861372,72.48,87.01,80.99,0.517017,86.72,94.42,84.91,0.299811,95.92,97.99,93.46,1.172421,84.92,87.93,77.17,1.358387,60.92,65.11,67.63,1.505625,84.04,81.5,80.77,0.659621,82.72,84.77,79.17,1.248072,58.55,68.27,66.23,0.906131,96.63,97.15,92.78,1.479077,92.16,96.83,90.0,0.397224,82.85,87.04,82.06,0.90369
brightness_level 4,84.76,85.94,80.0,0.435773,87.47,93.63,85.15,0.880662,72.56,87.02,81.3,0.516117,88.64,95.09,85.71,0.41755,96.24,98.17,94.34,1.158447,88.52,90.44,82.35,1.375135,56.88,60.56,67.69,1.517392,81.52,79.53,76.67,0.63338,78.88,80.58,76.11,1.17944,54.43,62.49,66.23,0.952402,97.18,97.47,92.63,1.527006,89.76,95.93,88.89,0.440226,81.4,85.57,81.42,0.919461
contrast_level 1,94.16,95.09,89.58,0.507892,97.8,98.92,96.0,0.511251,63.92,82.47,81.3,0.330323,95.36,98.01,92.63,0.578015,82.56,92.34,84.68,1.007808,88.36,91.49,81.55,1.392734,67.32,72.55,71.76,1.495565,89.96,92.03,86.32,0.695845,87.0,89.72,82.69,1.223411,69.64,74.07,71.32,1.082195,95.6,96.0,90.91,1.352255,98.48,99.37,96.91,0.501465,85.85,90.17,85.47,0.889897
