transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,99.25,95.94,43.23,0.435582,97.28,94.72,48.54,0.258503,94.51,87.03,19.71,0.071875,99.28,85.47,59.58,0.704316,95.26,88.06,35.19,0.082524,98.97,92.06,34.74,0.579612,98.17,87.72,19.99,0.609799,92.31,88.27,21.53,0.276356,96.02,85.86,34.44,0.476041,91.82,73.6,14.22,0.558209,95.19,86.78,30.25,0.322415,93.2,92.88,16.71,0.06026,95.94,88.2,31.51,0.369624
noise_level 1,98.2,93.25,37.98,0.558174,97.03,92.99,47.74,0.267609,94.23,84.24,18.59,0.098266,99.17,81.15,58.87,0.737627,94.93,87.25,34.01,0.088245,99.0,91.99,38.42,0.534519,97.82,85.87,11.07,0.698313,91.3,86.33,20.22,0.273997,96.18,86.71,36.11,0.46571,91.99,71.2,13.14,0.561783,94.83,86.7,32.08,0.376576,91.76,93.79,14.26,0.00799,95.54,86.79,30.21,0.389067
noise_level 2,96.69,88.75,33.85,0.476899,96.95,92.71,47.71,0.271215,94.26,83.65,19.0,0.116061,99.02,80.87,60.58,0.652812,94.77,86.56,33.51,0.095578,98.63,88.93,32.88,0.562304,97.29,83.79,7.24,0.717697,91.24,85.12,19.31,0.274649,96.34,86.54,36.21,0.474135,91.89,68.34,12.77,0.540028,94.67,84.25,33.42,0.401861,91.15,94.36,13.82,0.010278,95.24,85.32,29.19,0.382793
noise_level 3,96.33,89.24,31.6,0.424141,96.8,91.4,45.7,0.272732,94.2,83.75,19.17,0.139737,98.88,78.73,61.2,0.544418,94.57,85.94,32.78,0.093859,98.1,87.2,26.97,0.607638,96.7,81.59,2.99,0.703829,90.71,81.84,18.4,0.29557,96.66,87.25,36.39,0.489578,91.69,67.93,12.62,0.541647,94.45,84.41,34.36,0.458967,91.16,93.91,13.58,0.013224,95.02,84.43,27.98,0.382112
noise_level 4,94.09,84.75,30.75,0.346965,96.22,86.7,42.64,0.29563,94.32,83.52,19.68,0.170728,98.1,71.94,60.02,0.489126,94.3,84.96,31.92,0.102233,96.95,82.95,20.03,0.681172,95.87,79.62,1.22,0.597203,89.9,78.01,14.0,0.331165,96.21,86.68,35.2,0.503117,91.5,67.33,12.98,0.567282,94.15,83.88,32.48,0.502573,90.74,94.39,12.89,0.021439,94.36,82.06,26.15,0.384053
blur_level 1,98.28,91.77,38.3,0.51811,93.94,87.07,32.75,0.385841,88.82,82.64,13.77,0.34179,98.33,82.84,55.66,0.86972,94.53,86.8,30.96,0.121294,98.13,87.25,34.25,0.538495,96.83,81.47,9.92,0.612956,89.17,81.87,14.39,0.337849,94.78,80.45,23.0,0.526436,90.68,62.67,11.68,0.645477,93.8,83.3,24.63,0.405608,94.74,96.26,37.65,0.193792,94.34,83.7,27.25,0.458114
blur_level 2,98.0,90.98,36.89,0.532775,93.07,83.19,30.23,0.457702,86.18,80.08,12.1,0.400638,98.02,81.34,54.95,0.900284,94.21,86.67,29.51,0.11309,97.6,86.07,33.56,0.566842,96.06,78.89,7.69,0.656625,87.35,79.63,12.73,0.384528,94.09,78.1,20.71,0.464431,89.49,58.1,7.97,0.6781,92.97,78.92,19.62,0.460751,94.8,95.65,38.46,0.221402,93.49,81.47,25.37,0.486431
blur_level 3,96.65,88.31,28.79,0.582827,91.53,76.32,24.95,0.491678,83.67,76.6,10.13,0.431592,97.49,77.75,52.58,0.897735,93.55,82.64,28.53,0.145555,96.84,81.11,30.45,0.58168,94.96,73.5,3.78,0.663952,86.15,76.71,11.67,0.434389,93.12,74.67,17.13,0.497686,88.47,53.85,6.39,0.61206,92.3,76.96,16.69,0.43414,94.7,94.23,37.03,0.280587,92.45,77.72,22.34,0.50449
blur_level 4,96.5,85.65,26.17,0.602539,90.26,69.26,20.12,0.5106,84.25,74.77,9.79,0.457162,97.04,73.45,50.3,0.883955,92.72,79.32,26.26,0.166092,95.83,77.98,22.89,0.62314,93.86,69.83,1.57,0.662945,84.88,75.07,10.04,0.433883,92.6,72.73,15.11,0.521919,87.3,51.67,4.96,0.660117,91.75,75.95,15.12,0.416867,94.52,94.61,37.42,0.288356,91.79,75.02,19.98,0.518965
photometric_level 1,98.27,92.07,39.45,0.477815,96.83,92.79,46.86,0.263298,94.37,85.71,20.06,0.091672,99.23,84.32,59.1,0.751584,94.82,85.87,34.1,0.068232,98.73,87.15,36.41,0.512802,97.7,86.23,13.41,0.581185,92.42,88.37,21.81,0.303448,95.83,85.74,34.75,0.522638,91.84,75.12,16.49,0.530043,94.99,86.5,32.82,0.330964,91.6,93.33,13.72,0.088472,95.55,86.93,30.75,0.376846
photometric_level 2,97.66,92.12,36.94,0.405228,96.57,91.82,44.41,0.282257,94.25,85.89,21.07,0.115055,98.95,83.39,57.78,0.541794,94.56,85.55,33.26,0.073669,98.35,84.06,35.84,0.502376,97.1,82.26,12.05,0.559615,92.25,85.9,21.69,0.309651,95.84,86.23,33.94,0.510315,91.79,74.7,17.45,0.554437,94.8,84.26,34.2,0.36086,90.6,94.28,14.04,0.162506,95.23,85.87,30.22,0.364814
photometric_level 3,96.99,91.79,35.12,0.381936,96.1,89.52,40.53,0.306896,94.29,86.42,23.05,0.143537,98.79,83.58,58.5,0.600822,94.21,84.9,31.31,0.078975,97.87,81.67,32.09,0.434249,95.99,80.08,6.75,0.557352,91.94,84.39,20.42,0.318657,95.71,86.26,32.63,0.514106,91.59,67.15,16.73,0.556264,94.57,84.52,35.74,0.43073,88.89,95.18,13.22,0.2185,94.74,84.62,28.84,0.378502
photometric_level 4,94.78,89.92,30.65,0.331464,94.15,80.48,31.95,0.302651,93.64,84.57,21.84,0.180111,97.87,70.86,57.48,0.444542,93.57,81.56,28.08,0.0621,95.78,73.9,25.86,0.455553,92.99,67.22,1.71,0.565258,90.25,80.3,17.45,0.318763,95.18,85.0,29.14,0.480463,91.0,65.4,15.17,0.621656,93.94,83.58,32.76,0.485105,85.17,90.47,10.67,0.34399,93.19,79.44,25.23,0.382638
