transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,90.06,92.91,84.66,0.64514,98.68,99.32,96.41,0.668822,80.34,90.87,82.57,0.340233,96.68,98.63,94.9,0.371925,92.24,96.49,88.99,1.142409,89.52,92.89,86.81,1.540441,73.53,78.17,68.94,1.608899,88.86,87.99,83.77,0.657317,83.88,86.85,80.0,1.243183,67.39,73.98,66.45,0.846647,93.27,94.18,89.23,1.439065,99.5,99.75,97.49,0.417866,87.83,91.0,85.02,0.910162
noise_level 1,84.73,87.53,78.5,0.659505,98.6,99.25,96.0,0.671774,66.6,83.87,80.0,0.306315,96.44,98.32,93.0,0.305527,88.32,94.94,85.41,1.333597,90.63,93.55,87.43,1.532276,70.85,73.01,70.41,1.678666,85.6,87.05,79.79,0.620707,86.02,88.76,81.25,1.212785,67.82,73.89,66.95,1.091168,90.83,93.4,85.28,1.39751,97.94,99.08,94.85,0.514599,85.36,89.39,83.24,0.943702
noise_level 2,81.51,84.42,75.22,0.573228,95.42,97.57,90.53,0.732426,66.04,83.27,80.0,0.333911,93.74,97.07,91.92,0.267999,86.26,94.15,85.08,1.35491,89.39,91.69,81.63,1.523355,62.94,65.82,68.28,1.676111,83.13,84.97,80.21,0.592475,86.77,88.82,81.22,1.20011,64.55,71.58,66.45,0.847555,91.47,93.84,87.7,1.429465,95.04,98.08,94.79,0.577618,83.02,87.61,81.92,0.925764
noise_level 3,76.42,80.59,71.07,0.602277,92.3,95.89,89.23,0.68349,64.94,83.15,80.0,0.354384,93.0,96.84,90.26,0.311287,85.48,93.91,83.74,1.236491,87.36,89.7,81.19,1.554327,56.65,60.69,66.89,1.709672,80.0,81.36,75.13,0.624653,86.55,89.87,80.9,1.261417,59.0,67.11,66.45,0.862163,93.45,94.56,87.96,1.415313,93.54,97.5,93.12,0.654915,80.72,85.93,80.5,0.939199
noise_level 4,74.96,78.95,70.87,0.471835,78.13,88.1,79.01,0.604255,62.44,81.89,80.32,0.421091,85.64,93.79,85.25,0.406401,81.22,92.15,81.61,1.364431,82.44,82.85,78.3,1.578961,53.7,58.68,66.67,1.652737,74.06,79.2,71.77,0.598147,85.2,87.97,77.67,1.148321,62.66,67.24,66.67,0.920415,93.93,94.85,87.32,1.388229,93.54,97.48,92.31,0.670883,77.33,83.6,78.15,0.935475
blur_level 1,89.65,91.17,82.41,0.567137,87.52,90.27,88.99,0.699641,72.88,86.27,81.33,0.342665,91.26,95.93,88.68,0.376498,90.36,95.76,87.2,1.222645,82.17,87.29,75.74,1.486223,70.19,73.63,68.75,1.583901,80.13,82.55,74.49,0.527987,73.53,76.76,70.19,0.910546,59.42,66.52,66.45,0.855277,84.34,87.98,79.19,1.392442,99.12,99.6,97.46,0.614843,81.71,86.14,80.07,0.88165
blur_level 2,87.53,90.13,82.65,0.584196,80.28,83.18,87.72,0.6164,72.02,85.53,80.66,0.333349,90.4,95.45,88.68,0.333865,89.14,95.22,86.01,1.328257,81.14,85.97,73.54,1.426747,67.91,71.0,68.79,1.560169,76.38,78.61,72.49,0.63565,77.03,80.16,73.96,1.168454,54.01,56.38,66.45,0.87088,80.49,84.02,72.88,1.353881,98.62,99.39,96.91,0.681384,79.58,83.75,79.23,0.907769
blur_level 3,78.6,80.11,76.52,0.506885,75.33,79.2,86.49,0.651979,69.44,83.45,80.49,0.351265,87.44,93.8,89.0,0.3821,86.38,93.88,85.32,1.197151,72.83,80.47,68.42,1.470403,64.21,64.31,69.01,1.557015,74.26,76.41,71.6,0.544364,74.73,75.66,73.17,1.018484,50.73,52.22,66.45,0.844978,74.47,80.29,69.68,1.327166,98.4,99.28,96.48,0.629895,75.57,79.92,77.72,0.873474
blur_level 4,77.42,77.9,75.65,0.470069,70.93,76.35,82.24,0.673237,66.98,81.87,80.97,0.360314,85.7,92.42,89.62,0.290421,84.02,92.74,84.11,1.202449,72.79,79.27,69.34,1.340606,64.38,61.28,68.77,1.613168,70.48,74.16,67.98,0.790599,73.4,70.07,74.07,0.966179,49.88,50.54,66.45,0.861908,68.25,73.09,67.43,1.247914,98.04,99.12,95.38,0.667787,73.52,77.4,76.83,0.873721
photometric_level 1,90.74,92.41,84.36,0.507892,93.67,96.67,89.01,0.673214,75.22,88.4,82.61,0.396272,92.84,97.07,91.01,0.414003,87.04,94.56,87.23,1.17406,85.69,89.46,78.11,1.480572,66.08,70.97,69.04,1.495565,89.35,88.65,85.26,0.671424,85.15,88.15,81.37,1.227417,66.93,73.43,66.89,0.918545,94.52,95.24,89.69,1.433575,99.06,99.56,97.06,0.2399,85.52,89.55,83.47,0.886037
